Species,January,February,March,April,May,June,July,August,September,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
Butterfish (Pacific pompano).....,0,0,0,0,0,0,0,0,0,0,0,2,2
Cabezon..........................................,151,0,0,0,71,151,246,180,164,259,200,27,"1,448"
"Fish, unspecified..........................",9,0,0,0,0,0,0,4,0,0,0,0,13
"Greenling, kelp..............................",8,0,0,0,26,19,33,78,26,45,17,0,252
Hagfishes.......................................,0,0,0,0,"6,858","9,020","18,808","11,165","14,327","23,115","7,512",0,"90,805"
"Halibut, California.........................",0,0,0,0,335,112,"1,907",997,478,33,0,0,"3,862"
"Herring, Pacific - roe on kelp....",0,"1,995",0,0,0,0,0,0,0,0,0,0,"1,995"
Lingcod............................................,0,0,0,0,46,87,148,213,123,227,55,0,899
Louvar..............................................,0,0,0,0,0,0,0,0,0,0,0,24,24
"Rockfish, China.............................",14,2,0,0,4,40,70,76,30,40,32,0,308
"Rockfish, black-and-yellow.......",14,1,0,0,54,95,103,237,103,201,7,9,824
"Rockfish, black..............................",0,0,0,0,2,0,1,80,67,220,0,0,370
"Rockfish, blackgill........................",42,20,99,462,87,120,209,205,136,69,109,0,"1,558"
"Rockfish, blue................................",1,0,0,0,0,0,0,0,0,0,0,0,1
"Rockfish, bocaccio......................",0,0,0,0,0,0,0,0,0,32,215,0,247
"Rockfish, brown............................",0,0,0,0,3,0,0,17,26,171,0,0,217
"Rockfish, chilipepper...................",0,53,0,70,0,0,"1,234",0,0,450,358,0,"2,165"
"Rockfish, copper...........................",0,0,0,0,0,0,0,31,0,0,0,0,31
"Rockfish, darkblotched...............",0,0,0,0,0,0,0,0,0,0,231,0,231
"Rockfish, gopher...........................",147,5,0,0,276,243,514,490,219,148,92,0,"2,134"
"Rockfish, grass.............................",28,0,0,0,30,23,27,47,55,97,44,8,359
"Rockfish, group slope.................",98,0,0,543,66,22,0,0,0,0,0,0,729
"Rockfish, kelp................................",0,0,0,0,0,0,0,0,12,20,0,0,32
"Rockfish, vermilion.......................",0,0,0,0,10,4,2,10,2,0,4,0,31
"Rockfish, yellowtail......................",0,0,0,0,0,0,0,1,0,0,0,0,1
Sablefish.........................................,"6,735","3,752","6,650","40,989","9,330","5,985","2,831","6,300","4,667","1,123","2,956",0,"91,318"
"Salmon, Chinook...........................",0,0,0,0,"105,238","32,292","306,761","113,201","20,682","6,728",0,0,"584,902"
Sanddab..........................................,0,0,0,0,0,0,"1,905",0,0,0,0,0,"1,905"
"Sculpin, staghorn.........................",0,0,0,0,0,0,0,0,0,11,0,0,11
"Seabass, white.............................",0,0,0,0,0,0,0,17,0,0,0,0,17
"Shark, salmon................................",0,0,0,0,0,33,0,0,0,0,0,0,33
"Shark, shortfin mako....................",0,0,0,0,0,0,0,0,0,0,0,23,23
"Skate, big........................................",0,0,0,0,0,0,35,0,0,0,0,0,35
"Skate, unspecified.......................",0,0,0,0,0,0,381,0,0,0,0,0,381
"Sole, Dover.....................................",0,0,0,0,0,0,1,0,0,0,0,0,1
"Sole, English..................................",0,0,0,0,0,0,666,0,0,0,0,0,666
Species,January,February,March,April,May June,,July,August September,,October,November,December,Landings
California Waters,,,,,,,,,,,,,
Fishes,,,,,,,,,,,,,
"Sole, petrale...................................",0,0,0,0,0  0,,750,0  0,,0,0,0,750
"Sole, rock........................................",0,0,0,0,0  0,,0,0  0,,10,0,0,10
"Sole, sand......................................",0,0,0,0,0  0,,77,0  0,,0,0,0,77
Swordfish........................................,0,0,0,0,0  0,,0,0  0,,0,0,"2,021","2,021"
"Thornyhead, shortspine..............",607,982,307,0,151  243,,15,228  0,,0,195,0,"2,728"
"Tuna, albacore..............................",0,0,0,0,0  0,,0,"0  12,210",,"7,289",0,304,"19,803"
"Tuna, bigeye..................................",0,0,0,0,0  0,,0,0  0,,0,0,82,82
Crustaceans,,,,,,,,,,,,,
"Crab, Dungeness..........................","812,119","257,198","215,277","87,257","89,006  63,710",,"3,016",0  0,,0,"885,865","336,161","2,749,609"
"Crab, red rock................................",0,0,0,0,0  0,,0,0  465,,0,0,0,465
"Crab, rock unspecified................",0,0,0,0,190  650,,0,0  0,,0,"2,352","1,261","4,453"
"Shrimp, bay....................................",0,0,0,0,0  0,,0,0  0,,0,7,0,7
"Shrimp, coonstriped.....................",0,0,0,0,69  0,,869,350  0,,0,0,0,"1,288"
Echinoderms,,,,,,,,,,,,,
"Sea urchin, red..............................","8,117",0,"6,180",0,0  0,,0,0  0,,"23,121","6,846",0,"44,264"
Mollusks,,,,,,,,,,,,,
"Octopus, unspecified..................",0,0,41,0,0  0,,0,0  0,,0,0,52,93
Waters Area Total:,"828,090","264,008","228,554","129,321","211,851  112,847",,"340,609","133,927  53,790",,"63,408","907,097","339,975","3,613,477"
Grand Total:,"828,090","264,008","228,554","129,321","211,851  112,847",,"340,609","133,927  53,790",,"63,408","907,097","339,975","3,613,477"
"",,,,,*******************,,,,,,,,
"",,,,,,,,Total Records:,,"4,112",,,
"",,,,,End of Report,,,,,,,,
